매출일자,품명,수량
20030816,저녁식사,20.64981949
20030817,아침식사,37.97833935
20030817,점심식사,29.60288809
20030817,저녁식사,24.0433213
20030818,아침식사,42.23826715
20030818,점심식사,46.28158845
20030818,저녁식사,23.68231047
20030819,아침식사,42.45487365
20030819,점심식사,51.11913357
20030819,저녁식사,22.09386282
20030820,아침식사,49.02527076
20030820,점심식사,47.29241877
20030820,저녁식사,36.10108303
20030821,아침식사,45.12635379
20030821,점심식사,51.04693141
20030821,저녁식사,22.09386282
20030822,아침식사,48.23104693
20030822,점심식사,53.14079422
20030822,저녁식사,18.70036101
20030823,아침식사,42.31046931
20030823,점심식사,29.38628159
20030823,저녁식사,17.76173285
20030824,아침식사,39.06137184
20030824,점심식사,29.81949458
20030824,저녁식사,22.74368231
20030825,아침식사,43.53790614
20030825,점심식사,42.59927798
20030825,저녁식사,25.70397112
20030826,아침식사,46.13718412
20030826,점심식사,52.77978339
20030826,저녁식사,22.09386282
20030827,아침식사,48.88086643
20030827,점심식사,48.01444043
20030827,저녁식사,22.38267148
20030828,아침식사,40.72202166
20030828,아침식사1,100
20030828,점심식사,47.50902527
20030828,저녁식사,23.17689531
20030829,아침식사,44.33212996
20030829,점심식사,50.68592058
20030829,저녁식사,21.51624549
20030830,아침식사,39.06137184
20030830,점심식사,31.40794224
20030830,저녁식사,17.76173285
20030831,아침식사,34.72924188
20030831,점심식사,22.88808664
20030831,저녁식사,24.2599278
20030901,아침식사,47.22021661
20030901,점심식사,53.42960289
20030901,저녁식사,27.14801444
20030902,아침식사,46.13718412
20030902,점심식사,52.99638989
20030902,저녁식사,20.28880866
20030903,아침식사,47.07581227
20030903,점심식사,53.64620939
20030903,저녁식사,31.26353791
20030904,아침식사,48.5198556
20030904,점심식사,50.68592058
20030904,저녁식사,23.24909747
20030905,아침식사,47.6534296
20030905,점심식사,50.03610108
20030905,저녁식사,19.7833935
20030906,아침식사,42.81588448
20030906,점심식사,32.63537906
20030906,저녁식사,20.14440433
20030907,아침식사,41.94945848
20030907,점심식사,27.58122744
20030907,저녁식사,25.41516245
20030908,아침식사,46.20938628
20030908,점심식사,50.90252708
20030908,저녁식사,27.29241877
20030909,아침식사,46.13718412
20030909,점심식사,48.44765343
20030909,저녁식사,17.83393502
20030910,아침식사,41.58844765
20030910,점심식사,18.70036101
20030910,저녁식사,12.49097473
20030911,아침식사,40.72202166
20030911,점심식사,23.75451264
20030911,저녁식사,15.09025271
20030912,아침식사,31.40794224
20030912,점심식사,18.33935018
20030912,저녁식사,18.12274368
20030913,아침식사,32.92418773
20030913,점심식사,24.2599278
20030913,저녁식사,14.72924188
20030914,아침식사,37.97833935
20030914,점심식사,29.24187726
20030914,저녁식사,17.97833935
20030915,아침식사,47.22021661
20030915,점심식사,53.06859206
20030915,저녁식사,25.92057762
20030916,아침식사,48.5198556
20030916,점심식사,51.04693141
20030916,저녁식사,25.55956679
20030917,아침식사,46.93140794
20030917,점심식사,54.15162455
20030917,저녁식사,25.55956679
20030918,아침식사,42.81588448
20030918,점심식사,50.68592058
20030918,저녁식사,23.39350181
20030919,아침식사,41.44404332
20030919,점심식사,50.75812274
20030919,저녁식사,16.96750903
20030920,아침식사,38.98916968
20030920,점심식사,31.62454874
20030920,저녁식사,16.89530686
20030921,아침식사,38.33935018
20030921,점심식사,30.10830325
20030921,저녁식사,27.00361011
20030922,아침식사,42.67148014
20030922,점심식사,58.98916968
20030922,저녁식사,30.25270758
20030923,아침식사,44.40433213
20030923,점심식사,53.86281588
20030923,저녁식사,24.90974729
20030924,아침식사,44.54873646
20030924,점심식사,54.07942238
20030924,저녁식사,24.33212996
20030925,아침식사,43.75451264
20030925,점심식사,48.44765343
20030925,저녁식사,20.79422383
